Classifier,Precision,Method,
DT,0.842990165,AFExNet,
NB,0.862812793,AFExNet,
GB,0.842268564,AFExNet,
KN,0.863123778,AFExNet,
LDA,0.857904773,AFExNet,
LR,0.865162044,AFExNet,
MLP,0.85869025,AFExNet,
QDA,0.839482977,AFExNet,
RF,0.877493799,AFExNet,
SVM,0.862725641,AFExNet,
VC,0.860588367,AFExNet,
XGB,0.855133535,AFExNet,
DT,0.75418319,PCA,
NB,0.705645881,PCA,
GB,0.842904871,PCA,
KN,0.798929207,PCA,
LDA,0.847812351,PCA,
LR,0.853748179,PCA,
MLP,0.867868279,PCA,
QDA,0.722590756,PCA,
RF,0.823637601,PCA,
SVM,0.252544581,PCA,
VC,0.867286196,PCA,
XGB,0.818087056,PCA,
DT,0.623886353,VAE,
NB,0.862901225,VAE,
GB,0.823671712,VAE,
KN,0.77438852,VAE,
LDA,0.852060728,VAE,
LR,0.863706544,VAE,
MLP,0.853672654,VAE,
QDA,0.777992568,VAE,
RF,0.819820189,VAE,
SVM,0.709309278,VAE,
VC,0.858731595,VAE,
XGB,0.783519164,VAE,
DT,0.771179533,AE,
NB,0.837357398,AE,
GB,0.847599865,AE,
KN,0.789699606,AE,
LDA,0.839905037,AE,
LR,0.836366383,AE,
MLP,0.840472638,AE,
QDA,0.746310618,AE,
RF,0.859008979,AE,
SVM,0.252544581,AE,
VC,0.850238174,AE,
XGB,0.837846926,AE,
DT,0.750980589,DAE,
NB,0.795615619,DAE,
GB,0.815137146,DAE,
KN,0.804705685,DAE,
LDA,0.839051295,DAE,
LR,0.858108596,DAE,
MLP,0.84320563,DAE,
QDA,0.711641153,DAE,
RF,0.834213818,DAE,
SVM,0.298476235,DAE,
VC,0.853027107,DAE,
XGB,0.822143514,DAE,
