Classifier,Recall,Method
DT,0.842901139,AFExNet
NB,0.857957636,AFExNet
GB,0.836452628,AFExNet
KN,0.859556319,AFExNet
LDA,0.851303377,AFExNet
LR,0.857944308,AFExNet
MLP,0.852943856,AFExNet
QDA,0.833009074,AFExNet
RF,0.872725712,AFExNet
SVM,0.857890335,AFExNet
VC,0.852875426,AFExNet
XGB,0.847939989,AFExNet
DT,0.753736615,PCA
NB,0.710472338,PCA
GB,0.839539354,PCA
KN,0.800137319,PCA
LDA,0.841274672,PCA
LR,0.856231565,PCA
MLP,0.864484286,PCA
QDA,0.763384783,PCA
RF,0.821544982,PCA
SVM,0.502520441,PCA
VC,0.864457867,PCA
XGB,0.790163958,PCA
DT,0.618071198,VAE
NB,0.84781714,VAE
GB,0.826517219,VAE
KN,0.756825605,VAE
LDA,0.84956692,VAE
LR,0.864622281,VAE
MLP,0.854552253,VAE
QDA,0.819728127,VAE
RF,0.818208486,VAE
SVM,0.700291688,VAE
VC,0.858009808,VAE
XGB,0.770023919,VAE
DT,0.768510371,AE
NB,0.819621757,AE
GB,0.842833607,AE
KN,0.798336508,AE
LDA,0.832790687,AE
LR,0.834703537,AE
MLP,0.844595823,AE
QDA,0.718836014,AE
RF,0.854445409,AE
SVM,0.502520441,AE
VC,0.847859603,AE
XGB,0.827762004,AE
DT,0.741637228,DAE
NB,0.771502875,DAE
GB,0.813116777,DAE
KN,0.80818567,DAE
LDA,0.832939074,DAE
LR,0.854595834,DAE
MLP,0.844553812,DAE
QDA,0.680283493,DAE
RF,0.83475865,DAE
SVM,0.504146457,DAE
VC,0.852846054,DAE
XGB,0.814728567,DAE
