Score,Metrics,Method
0.842901139,Accuracy,AFExNet
0.857957636,Accuracy,AFExNet
0.836452628,Accuracy,AFExNet
0.859556319,Accuracy,AFExNet
0.851303377,Accuracy,AFExNet
0.857944308,Accuracy,AFExNet
0.852943856,Accuracy,AFExNet
0.833009074,Accuracy,AFExNet
0.872725712,Accuracy,AFExNet
0.857890335,Accuracy,AFExNet
0.852875426,Accuracy,AFExNet
0.847939989,Accuracy,AFExNet
0.840806444,F1-Score,AFExNet
0.85582195,F1-Score,AFExNet
0.837064416,F1-Score,AFExNet
0.8590315,F1-Score,AFExNet
0.851230609,F1-Score,AFExNet
0.859402019,F1-Score,AFExNet
0.854174536,F1-Score,AFExNet
0.821251872,F1-Score,AFExNet
0.872928435,F1-Score,AFExNet
0.858625769,F1-Score,AFExNet
0.854255871,F1-Score,AFExNet
0.848234422,F1-Score,AFExNet
0.842901139,Recall,AFExNet
0.857957636,Recall,AFExNet
0.836452628,Recall,AFExNet
0.859556319,Recall,AFExNet
0.851303377,Recall,AFExNet
0.857944308,Recall,AFExNet
0.852943856,Recall,AFExNet
0.833009074,Recall,AFExNet
0.872725712,Recall,AFExNet
0.857890335,Recall,AFExNet
0.852875426,Recall,AFExNet
0.847939989,Recall,AFExNet
0.842990165,Precision,AFExNet
0.862812793,Precision,AFExNet
0.842268564,Precision,AFExNet
0.863123778,Precision,AFExNet
0.857904773,Precision,AFExNet
0.865162044,Precision,AFExNet
0.85869025,Precision,AFExNet
0.839482977,Precision,AFExNet
0.877493799,Precision,AFExNet
0.862725641,Precision,AFExNet
0.860588367,Precision,AFExNet
0.855133535,Precision,AFExNet
0.855561234,AUC,AFExNet
0.954914434,AUC,AFExNet
0.938640522,AUC,AFExNet
0.893285168,AUC,AFExNet
0.943640498,AUC,AFExNet
0.96723851,AUC,AFExNet
0.964642312,AUC,AFExNet
0.913831514,AUC,AFExNet
0.958685116,AUC,AFExNet
0.9664472,AUC,AFExNet
0.964114791,AUC,AFExNet
0.941392638,AUC,AFExNet
0.758485871,MCC,AFExNet
0.782243807,MCC,AFExNet
0.750996897,MCC,AFExNet
0.784285662,MCC,AFExNet
0.774260984,MCC,AFExNet
0.784204984,MCC,AFExNet
0.775847407,MCC,AFExNet
0.740332643,MCC,AFExNet
0.805661779,MCC,AFExNet
0.782440431,MCC,AFExNet
0.775844597,MCC,AFExNet
0.76874101,MCC,AFExNet
0.757519597,Kappa,AFExNet
0.780005201,Kappa,AFExNet
0.749554104,Kappa,AFExNet
0.782883757,Kappa,AFExNet
0.772006068,Kappa,AFExNet
0.783002962,Kappa,AFExNet
0.774875127,Kappa,AFExNet
0.732662475,Kappa,AFExNet
0.804288734,Kappa,AFExNet
0.781482045,Kappa,AFExNet
0.774568041,Kappa,AFExNet
0.766552988,Kappa,AFExNet
0.753736615,Accuracy,PCA
0.710472338,Accuracy,PCA
0.839539354,Accuracy,PCA
0.800137319,Accuracy,PCA
0.841274672,Accuracy,PCA
0.856231565,Accuracy,PCA
0.864484286,Accuracy,PCA
0.763384783,Accuracy,PCA
0.821544982,Accuracy,PCA
0.502520441,Accuracy,PCA
0.864457867,Accuracy,PCA
0.790163958,Accuracy,PCA
0.751592834,F1-Score,PCA
0.657722762,F1-Score,PCA
0.834799917,F1-Score,PCA
0.771107037,F1-Score,PCA
0.840933216,F1-Score,PCA
0.851939132,F1-Score,PCA
0.860142917,F1-Score,PCA
0.714156607,F1-Score,PCA
0.814433738,F1-Score,PCA
0.336148077,F1-Score,PCA
0.862053862,F1-Score,PCA
0.794978228,F1-Score,PCA
0.753736615,Recall,PCA
0.710472338,Recall,PCA
0.839539354,Recall,PCA
0.800137319,Recall,PCA
0.841274672,Recall,PCA
0.856231565,Recall,PCA
0.864484286,Recall,PCA
0.763384783,Recall,PCA
0.821544982,Recall,PCA
0.502520441,Recall,PCA
0.864457867,Recall,PCA
0.790163958,Recall,PCA
0.75418319,Precision,PCA
0.705645881,Precision,PCA
0.842904871,Precision,PCA
0.798929207,Precision,PCA
0.847812351,Precision,PCA
0.853748179,Precision,PCA
0.867868279,Precision,PCA
0.722590756,Precision,PCA
0.823637601,Precision,PCA
0.252544581,Precision,PCA
0.867286196,Precision,PCA
0.818087056,Precision,PCA
0.791098601,AUC,PCA
0.919806712,AUC,PCA
0.947004649,AUC,PCA
0.841333945,AUC,PCA
0.952886432,AUC,PCA
0.972522922,AUC,PCA
0.971902183,AUC,PCA
0.822266525,AUC,PCA
0.95407046,AUC,PCA
0.911284185,AUC,PCA
0.968348976,AUC,PCA
0.927292824,AUC,PCA
0.622354019,MCC,PCA
0.548915033,MCC,PCA
0.751577474,MCC,PCA
0.68760381,MCC,PCA
0.757780367,MCC,PCA
0.780780828,MCC,PCA
0.792014794,MCC,PCA
0.633382512,MCC,PCA
0.723236263,MCC,PCA
0,MCC,PCA
0.792500149,MCC,PCA
0.693161313,MCC,PCA
0.620818118,Kappa,PCA
0.489031294,Kappa,PCA
0.7488104,Kappa,PCA
0.669386738,Kappa,PCA
0.755420527,Kappa,PCA
