Epoch,AAE Train (Single Layer),AAE Validation (Single Layer),AAE Train (Two Layer),AAE Validation (Two Layer),AAE Train (Three Layer),AAE Validation (Three Layer)
1,13.86003746,13.84720398,13.86007876,13.83838751,13.85951032,13.83736568
2,13.83602108,13.81337949,13.81448119,13.7652817,13.81263307,13.7572025
3,13.79843814,13.77199253,13.7308223,13.66719462,13.71208125,13.61932865
4,13.75631534,13.73010781,13.62604315,13.55399081,13.55444432,13.43893266
5,13.71468644,13.68981978,13.50955777,13.43640369,13.3744274,13.27611277
6,13.67483914,13.65149307,13.39349791,13.32807111,13.22826827,13.16452801
7,13.63709335,13.61546929,13.29069916,13.23862185,13.13289801,13.09696287
8,13.60168554,13.58175931,13.208199,13.17034475,13.07582813,13.05713104
9,13.56855606,13.55023276,13.14625628,13.12057395,13.04197445,13.03311658
10,13.53756917,13.52074982,13.10142291,13.08503559,13.0212598,13.01794185
11,13.50858144,13.4931708,13.06943277,13.05973064,13.00793678,13.00781379
12,13.4814571,13.46736371,13.04657748,13.04155067,12.99888966,13.00068634
13,13.45606755,13.44320692,13.03006402,13.02827235,12.99243037,12.99543938
14,13.43229122,13.42058342,13.01791795,13.01837175,12.98762039,12.99143729
15,13.41001418,13.39938408,13.00879461,13.01082188,12.98391802,12.98829442
16,13.38912986,13.37950653,13.00178838,13.0049343,12.98098818,12.98577002
17,13.36954249,13.36086026,12.99629037,13.00024642,12.97861991,12.98370398
18,13.3511581,13.34335645,12.99188781,12.99644382,12.9766722,12.98198599
19,13.33389123,13.32691439,12.98829749,12.99330685,12.97504493,12.98054028
20,13.31766553,13.31145911,12.98532479,12.99068239,12.97367041,12.97931007
21,13.30240657,13.2969242,12.98282814,12.98845969,12.97249352,12.97824825
22,13.28804629,13.2832415,12.98070789,12.98655675,12.97147806,12.97732704
23,13.27452449,13.27035474,12.97888626,12.98491334,12.97059287,12.97652246
24,13.26178192,13.25820903,12.97730812,12.98348045,12.96981696,12.97581183
25,13.24976518,13.2467499,12.97593002,12.98222172,12.96913069,12.97518179
26,13.23842503,13.23593624,12.9747171,12.98111132,12.96852142,12.97461856
27,13.22771559,13.22572096,12.97364432,12.98012322,12.96797557,12.97411364
28,13.21759443,13.21606521,12.97268797,12.97924083,12.96748521,12.97365898
29,13.20802342,13.20693198,12.97183168,12.97844774,12.96704226,12.9732463
30,13.19896493,13.19828449,12.97106091,12.97773184,12.96664134,12.97287116
31,13.19038515,13.19009403,12.97036442,12.9770837,12.96627584,12.97252869
32,13.18225467,13.18233051,12.96973423,12.97649441,12.96594158,12.9722159
33,13.1745426,13.17496426,12.96915834,12.97595527,12.96563637,12.97192751
34,13.16722382,13.16797087,12.96863285,12.9754631,12.96535405,12.97166201
35,13.16027297,13.16132907,12.96815115,12.97500923,12.96509389,12.97141634
36,13.15366643,13.15501479,12.96770739,12.97459117,12.96485387,12.9711887
37,13.14738377,13.14900714,12.96729851,12.97420567,12.96463068,12.9709778
38,13.14140347,13.14328951,12.96692014,12.97384775,12.96442308,12.97078102
39,13.13570907,13.13784354,12.96656974,12.97351569,12.96422948,12.97059727
40,13.13028172,13.13265155,12.96624368,12.97320696,12.96404977,12.97042509
41,13.12510664,13.12769965,12.96594004,12.97291921,12.96388069,12.97026457
