Score,Metrics,Method
3.980885383,Log Loss,AAE (Proposed)
0.436896956,Log Loss,AAE (Proposed)
0.395578291,Log Loss,AAE (Proposed)
0.428151373,Log Loss,AAE (Proposed)
4.398329533,Log Loss,AAE (Proposed)
0.547472162,Log Loss,AAE (Proposed)
0.635763048,Log Loss,AAE (Proposed)
1.258103374,Log Loss,AAE (Proposed)
2.070084328,Log Loss,AAE (Proposed)
0.899496458,Log Loss,AAE (Proposed)
5.547325274,Log Loss,AAE (Proposed)
4.690723991,Log Loss,AAE (Proposed)
8.505635997,Log Loss,PCA
1.310870753,Log Loss,PCA
0.521092914,Log Loss,PCA
3.981592603,Log Loss,PCA
0.785613326,Log Loss,PCA
0.427822549,Log Loss,PCA
0.432592537,Log Loss,PCA
5.099921945,Log Loss,PCA
0.529730783,Log Loss,PCA
1.164201983,Log Loss,PCA
0.394963771,Log Loss,PCA
1.279914544,Log Loss,PCA
0.417017078,Log Loss,AE
0.554575648,Log Loss,AE
0.461338908,Log Loss,AE
0.509581425,Log Loss,AE
1.561042753,Log Loss,AE
0.722836306,Log Loss,AE
1.275692011,Log Loss,AE
0.554267529,Log Loss,AE
3.859917372,Log Loss,AE
7.70663369,Log Loss,AE
6.231940679,Log Loss,AE
1.162899777,Log Loss,AE
1.687886516,Log Loss,VAE
0.537372798,Log Loss,VAE
0.459640328,Log Loss,VAE
0.811585056,Log Loss,VAE
0.676649579,Log Loss,VAE
0.461248266,Log Loss,VAE
4.30632085,Log Loss,VAE
0.663230463,Log Loss,VAE
4.131549734,Log Loss,VAE
1.27357196,Log Loss,VAE
7.781638105,Log Loss,VAE
0.802831506,Log Loss,VAE
8.976902765,Log Loss,DenoisingAE
2.691667619,Log Loss,DenoisingAE
0.489017526,Log Loss,DenoisingAE
4.210476666,Log Loss,DenoisingAE
0.686383462,Log Loss,DenoisingAE
0.427189582,Log Loss,DenoisingAE
0.470880027,Log Loss,DenoisingAE
10.97746602,Log Loss,DenoisingAE
0.447129674,Log Loss,DenoisingAE
1.17052309,Log Loss,DenoisingAE
0.401078092,Log Loss,DenoisingAE
1.276160587,Log Loss,DenoisingAE
