Score,Metrics,Method
0.854514302,Accuracy,AAE(Proposed)
0.854473431,Accuracy,AAE(Proposed)
0.851193839,Accuracy,AAE(Proposed)
0.851180522,Accuracy,AAE(Proposed)
0.849622936,Accuracy,AAE(Proposed)
0.849499173,Accuracy,AAE(Proposed)
0.849443833,Accuracy,AAE(Proposed)
0.847858688,Accuracy,AAE(Proposed)
0.846303812,Accuracy,AAE(Proposed)
0.839621327,Accuracy,AAE(Proposed)
0.839388483,Accuracy,AAE(Proposed)
0.833009526,Accuracy,AAE(Proposed)
0.853827909,F1-Score,AAE(Proposed)
0.855198005,F1-Score,AAE(Proposed)
0.85247222,F1-Score,AAE(Proposed)
0.852628473,F1-Score,AAE(Proposed)
0.847029478,F1-Score,AAE(Proposed)
0.850309202,F1-Score,AAE(Proposed)
0.848652248,F1-Score,AAE(Proposed)
0.846767381,F1-Score,AAE(Proposed)
0.847388265,F1-Score,AAE(Proposed)
0.839088704,F1-Score,AAE(Proposed)
0.836249942,F1-Score,AAE(Proposed)
0.819977387,F1-Score,AAE(Proposed)
0.854514302,Recall,AAE(Proposed)
0.854473431,Recall,AAE(Proposed)
0.851193839,Recall,AAE(Proposed)
0.851180522,Recall,AAE(Proposed)
0.849622936,Recall,AAE(Proposed)
0.849499173,Recall,AAE(Proposed)
0.849443833,Recall,AAE(Proposed)
0.847858688,Recall,AAE(Proposed)
0.846303812,Recall,AAE(Proposed)
0.839621327,Recall,AAE(Proposed)
0.839388483,Recall,AAE(Proposed)
0.833009526,Recall,AAE(Proposed)
0.857487812,Precision,AAE(Proposed)
0.85960089,Precision,AAE(Proposed)
0.857671964,Precision,AAE(Proposed)
0.859301306,Precision,AAE(Proposed)
0.85426443,Precision,AAE(Proposed)
0.854115081,Precision,AAE(Proposed)
0.851384158,Precision,AAE(Proposed)
0.854791386,Precision,AAE(Proposed)
0.856157931,Precision,AAE(Proposed)
0.849173344,Precision,AAE(Proposed)
0.844108326,Precision,AAE(Proposed)
0.842746164,Precision,AAE(Proposed)
0.901797375,AUC,AAE(Proposed)
0.966842232,AUC,AAE(Proposed)
0.967289315,AUC,AAE(Proposed)
0.964492001,AUC,AAE(Proposed)
0.954855911,AUC,AAE(Proposed)
0.9646908,AUC,AAE(Proposed)
0.963209116,AUC,AAE(Proposed)
0.940914777,AUC,AAE(Proposed)
0.942246196,AUC,AAE(Proposed)
0.935249701,AUC,AAE(Proposed)
0.847653599,AUC,AAE(Proposed)
0.920429012,AUC,AAE(Proposed)
0.77617233,MCC,AAE(Proposed)
0.776959628,MCC,AAE(Proposed)
0.77328451,MCC,AAE(Proposed)
0.772955155,MCC,AAE(Proposed)
0.769002453,MCC,AAE(Proposed)
0.770009528,MCC,AAE(Proposed)
0.768292222,MCC,AAE(Proposed)
0.768282568,MCC,AAE(Proposed)
0.768003317,MCC,AAE(Proposed)
0.756213173,MCC,AAE(Proposed)
0.750988818,MCC,AAE(Proposed)
0.740315082,MCC,AAE(Proposed)
0.774851882,Kappa,AAE(Proposed)
0.775883708,Kappa,AAE(Proposed)
0.772255133,Kappa,AAE(Proposed)
0.771627221,Kappa,AAE(Proposed)
0.766501187,Kappa,AAE(Proposed)
0.769177168,Kappa,AAE(Proposed)
0.767233376,Kappa,AAE(Proposed)
0.765991729,Kappa,AAE(Proposed)
0.765195144,Kappa,AAE(Proposed)
0.754086964,Kappa,AAE(Proposed)
0.749160982,Kappa,AAE(Proposed)
0.734175864,Kappa,AAE(Proposed)
0.856231565,Accuracy,PCA
0.864484286,Accuracy,PCA
0.864457867,Accuracy,PCA
0.821544982,Accuracy,PCA
0.841274672,Accuracy,PCA
0.839539354,Accuracy,PCA
0.790163958,Accuracy,PCA
0.710472338,Accuracy,PCA
0.502520441,Accuracy,PCA
0.800137319,Accuracy,PCA
0.763384783,Accuracy,PCA
0.753736615,Accuracy,PCA
0.851939132,F1-Score,PCA
0.860142917,F1-Score,PCA
0.862053862,F1-Score,PCA
0.814433738,F1-Score,PCA
0.840933216,F1-Score,PCA
0.834799917,F1-Score,PCA
0.794978228,F1-Score,PCA
0.657722762,F1-Score,PCA
0.336148077,F1-Score,PCA
0.771107037,F1-Score,PCA
0.714156607,F1-Score,PCA
0.751592834,F1-Score,PCA
0.856231565,Recall,PCA
0.864484286,Recall,PCA
0.864457867,Recall,PCA
0.821544982,Recall,PCA
0.841274672,Recall,PCA
0.839539354,Recall,PCA
0.790163958,Recall,PCA
0.710472338,Recall,PCA
0.502520441,Recall,PCA
0.800137319,Recall,PCA
0.763384783,Recall,PCA
0.753736615,Recall,PCA
0.853748179,Precision,PCA
0.867868279,Precision,PCA
0.867286196,Precision,PCA
0.823637601,Precision,PCA
0.847812351,Precision,PCA
0.842904871,Precision,PCA
0.818087056,Precision,PCA
0.705645881,Precision,PCA
0.252544581,Precision,PCA
0.798929207,Precision,PCA
0.722590756,Precision,PCA
0.75418319,Precision,PCA
0.972522922,AUC,PCA
0.971902183,AUC,PCA
0.968348976,AUC,PCA
0.95407046,AUC,PCA
0.952886432,AUC,PCA
0.947004649,AUC,PCA
0.927292824,AUC,PCA
0.919806712,AUC,PCA
0.911284185,AUC,PCA
